# RVPA outputs at  Mon May 27 13:36:54 2019  &  /home/momoko/Dropbox/linux/git/future-rvpa/sample/simple
# VPA results

# catch at age
2,0.569035514289537,1.27519357345814,0.753129049492681,1.05354875986013,1.09626308445549,1.11108040039706,1.84603589453402,1.50894184805395,0.577365388734867,0.452842837995203,1.34310511158782,1.72757891649395,1.99180874347276,1.88252865044365,1.93611883735261,1.50569592136182,1.34894378596211,0.670169831815344,1.14443226916188,0.791422226049475,1.893398868743,1.70339331703039,1.58577263571389,1.10525570872362,1.60154843338788,1.92264676331425,1.27077026707312,1.17078633748332,1.44991324446537,1.2971566163406
3,0.569035514289537,1.27519357345814,0.753129049492681,1.05354875986013,1.09626308445549,1.11108040039706,1.84603589453402,1.50894184805395,0.577365388734867,0.452842837995203,1.34310511158782,1.72757891649395,1.99180874347276,1.88252865044365,1.93611883735261,1.50569592136182,1.34894378596211,0.670169831815344,1.14443226916188,0.791422226049475,1.893398868743,1.70339331703039,1.58577263571389,1.10525570872362,1.60154843338788,1.92264676331425,1.27077026707312,1.17078633748332,1.44991324446537,1.29715604759275

# Current F
0.543630918622048
1.17668326435502
1.30595206609643
1.30595187651381

# numbers at age
,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,406.008626349132,498.965197137292,544.30074451613,469.602476908387,1106.88765422344,1043.42371247129,696.704939760559,923.956682021338,1353.17901858759,1698.84574592124,1117.54542482446,2381.13519627877,1669.13814769044,1818.36377711948,1858.00434921053,1458.95238311522,1334.92882471449,1116.94334008896,1100.45983389327,1693.97698793069,1090.71805826637,1081.83770385212,1265.05591338499,1024.0418341628,753.520700800662,764.971993974764,879.657273239616,513.112798047032,570.919543268904,585
1,120.026280525833,113.534229338313,138.511655567292,171.549443798182,229.978139770995,344.360762750241,385.840652302596,338.709302014544,451.555070442408,458.084296204276,446.664486611531,385.41857936719,769.130166681864,578.038477143452,669.715081534441,603.486684955304,504.316542350427,560.200448280659,416.868187304614,357.27386382903,367.945679707876,467.689010889733,442.672532045703,465.962043739543,420.684330873516,314.523608018486,255.929686098384,210.271209763076,201.709612875968,197.486283817276
2,19.6718905251508,28.0388229039411,25.2553775747986,30.9915873184006,38.4079945182902,34.5337053041677,52.7461768347722,82.8044373360715,93.2022591509178,110.384452377923,87.8824493113955,47.3484801415205,52.490974902428,71.8772190146765,79.5800039599781,92.7338574347781,76.3979447302582,55.2334223113148,134.012571372468,104.748535396865,70.890469719675,67.7796135910903,63.9300703459344,54.745404325972,54.0711761960337,81.4409065826108,51.2530758845914,37.9863142977814,40.7914957446616,38.5183791676155
3,4.40309463017815,8.26589345776454,6.1518576104655,8.97021134215794,8.45176423203464,9.49624255939117,8.79153771258878,5.89211099685666,11.8969150445797,35.7853657462185,56.3693880244178,22.8386786550285,7.56540933384946,4.97027472253074,7.094318174877,7.58398535126233,13.4994325599224,14.1501465574779,21.5307091339514,30.0388563408591,37.0502994841115,9.85701884615939,8.57324293280243,9.00571724863587,12.8036600119599,8.17658288076597,7.94786812654894,10.0761094494665,9.04049855929708,7.09041583103403

# total and spawning biomass 
,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Spawning biomass,12199.024806544,15266.6802487727,15072.0255125452,19114.2175831613,23544.4161359296,28769.3625300393,34764.4376179111,38219.4878668292,48535.1008437718,61891.0778406991,63966.5551214763,38839.77728982,53404.2881085144,47322.3886251099,54484.9958939703,54385.0358912439,47917.1387782513,46090.765237477,59847.9702517999,53370.621742257,48781.2058248814,42719.428831978,40095.375096315,39311.7177364324,38335.9778733083,37564.6904096159,27604.8816464638,23079.3343674408,22902.9141176035,21427.8994152083
Total biomass,34440.683886801,40901.99960118,43769.638071555,46475.7888494058,79318.829293417,87724.3491664027,81924.6678234633,92113.2202484099,125240.015109396,152749.122487763,131001.596445031,153356.11410933,158626.322350225,148958.863567062,162290.923939114,142917.465463618,126530.118884352,118778.521255068,124709.772972762,138993.394450936,110807.21214093,109377.387530549,112831.238234,103571.493289922,89511.0224490106,83889.7505695308,75587.6568809676,54117.4067774759,55825.176492158,54702.2136060721
Catch biomass,14658.64,19410.98,18309.93,16590.36,36518.26,38768.31,33872.02,32912.43,48487.16,65430.3210311,67685.21,70482.1745478,83032,69210.24748712,81130.04,71409.04,58089.02,46682.18,55652.0334394,67715.33,50009.9999925,51496.75289704,54046.60000432,47982.29600136,40383.51200058,43120.69121644,39954.1651896,23513.99999798,26046.00000022,26015.99999856
