"","1","2","3"
"2012",24423.5255883558,22968.7399701961,24536.94931473
"2013",26489.325929002,21916.8852490247,30740.2059177997
"2014",28633.2044179726,22734.7034834584,34071.9779629015
"2015",30789.0976084487,25926.6153529999,35932.3757086286
"2016",32903.6769919756,29939.6809166507,38312.7978121114
"2017",34966.82494318,37731.6235578805,39816.3255877213
"2018",36954.8668796386,41487.0819083098,36362.1301921654
"2019",38851.4051552763,45070.0053142325,32182.9177294153
"2020",40642.7837608774,49454.7044087556,36083.668771022
"2021",42319.2149772911,53035.2571369838,41798.7933592362
"2022",43874.5593320659,60254.4136762464,47597.4849938408
"2023",45306.0631894785,63230.9300159958,44658.1580290898
"2024",46613.9494691434,64825.7098124877,39351.9639378922
"2025",47800.9251302317,64643.2543051882,35958.4011059737
"2026",48871.6618640103,59520.8057025995,34650.2576724388
"2027",49832.28947056,62950.3296694663,36640.9608314077
"2028",50689.9317737887,69332.6657040195,37311.8256605313
"2029",51452.3028276628,62448.9020473591,37054.1275032421
"2030",52127.3715070273,53221.9408789027,36803.9167988304
"2031",52723.0951185251,55618.2368463153,40261.7614835256
"2032",53247.217582264,58521.6059046881,42642.4446336335
"2033",53707.1247188196,60123.1220029126,44688.134082706
"2034",54109.7477908837,58781.8569371958,44684.2857730769
"2035",54461.5062328761,56365.726712758,45948.9075424025
"2036",54768.2810420314,56244.6949513234,52652.1956495769
"2037",55035.4112703822,56538.6945391552,53335.3125311711
"2038",55267.7072066391,58678.7331397173,46744.7069065213
"2039",55469.4750074951,66531.2868486254,52167.9844584227
"2040",55644.5486303959,69455.2982188492,56041.1789082316
"2041",55796.3258823572,67921.6012494125,51217.8002180231
"2042",55927.806212261,84217.4149732269,50068.9292246591
"2043",56041.6285378125,98248.2110266386,49667.7445196431
"2044",56140.1079251705,89423.8804427942,50392.2930115992
"2045",56225.2703469036,69183.7501490796,57894.7623442748
"2046",56298.8850517364,57898.3098519766,76722.7091227071
"2047",56362.4943062529,58752.3102129214,81393.2961941142
"2048",56417.4404311434,62282.1031312874,68219.793098199
"2049",56464.8901671596,58222.0589763785,61753.8691091473
"2050",56505.8564806439,50426.7665831381,60678.7729335885
"2051",56541.2179649859,48480.1282116315,56505.0009384009
"2052",56571.7360202556,46540.2948690116,52499.7195688092
"2053",56598.070004477,49875.2529436424,46247.6748174423
"2054",56620.7905510412,56885.3782420347,42861.764528661
"2055",56640.391240995,63885.1932851347,43329.3587374607
"2056",56657.29880885,68861.9920892369,43888.672903637
"2057",56671.882047968,65219.0957292875,50330.8213578469
"2058",56684.4595677469,66643.9312954971,58007.559672023
"2059",56695.3065406618,79454.1734968976,62699.4193147888
"2060",56704.660563297,77494.2268614662,60901.882525687
"2061",56712.7267422276,61554.6438411563,54856.8245810781
