"","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",6001.31402629165,5676.71146691567,6925.58277836461,8577.4721899091,11498.9069885497,17218.038137512,19292.0326151298,16935.4651007272,22577.7535221204,22904.2148102138,22333.2243305765,19270.9289683595,38456.5083340932,28901.9238571726,33485.7540767221,30174.3342477652,25215.8271175214,28010.0224140329,20843.4093652307,17863.6931914515,18397.2839853938,23384.4505444867,22133.6266022852,23298.1021869772,21034.2165436758,15726.1804009243,12796.4843049192,10513.5604881538,10085.4806437984,9874.3141908638
"2",4524.53482078467,6448.92926790646,5808.73684220368,7128.06508323214,8833.83873920675,7942.75221995858,12131.6206719976,19045.0205872964,21436.5196047111,25388.4240469223,20212.963341621,10890.1504325497,12072.9242275584,16531.7603733756,18303.400910795,21328.787209999,17571.5272879594,12703.6871316024,30822.8914156677,24092.163141279,16304.8080355252,15589.3111259508,14703.9161795649,12591.4429949736,12436.3705250878,18731.4085140005,11788.207453456,8736.85228848973,9382.04402127217,8859.22720855156
"3",1673.1759594677,3141.03951395053,2337.70589197689,3408.68031002002,3211.67040817316,3608.57217256865,3340.78433078374,2239.00217880553,4520.8277169403,13598.438983563,21420.3674492788,8678.69788891081,2874.8555468628,1888.70439456168,2695.84090645326,2881.91443347968,5129.78437277051,5377.05569184161,8181.66947090154,11414.7654095264,14079.1138039624,3745.66716154057,3257.83231446492,3422.17255448163,4865.39080454476,3107.10149469107,3020.1898880886,3828.92159079726,3435.38945253289,2694.35801579293
