Year,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,6816.76,8429.68,8145.12,2817.16,16795.08,12687.6,4307.32,5590.8,18626.6,29981.35375,15018.32,34673.89091,22308.4,22248.47788,26884.92,19547.12,12813.28,13384.28,15931.61034,33872.76,9957.100032,10965.33074,15476.77714,10294.20836,7319.4482,10685.62264,16603.36782,5624.495168,7642.20718,8572.673028
1,5747.4,5599.2,6807.9,8428.6,13476.5,20046.1,19417,14411.3,20993.5,24391.311,28706.6,23276.45455,50670.7,34799.40709,40250.2,37189.9,32184.1,26420.9,19015.74889,18722,19952.56369,28214.87327,27445.9224,29346.284,22305.70923,17914.09801,15054.28469,11138.20655,10763.30266,10904.59367
2,1529.04,3619.28,2393.61,3615.6,4581.14,4149.43,7956.62,11552.21,7322.74,7200.796496,11632.71,6974.018181,8119.46,10915.31974,12198.28,12925.54,10133.34,4831.84,16361.62311,10259.61,10786.36675,9930.526414,9106.290516,6559.127428,7733.020999,12454.9812,6604.429254,4694.107692,5592.649665,5013.865889
3,565.44,1762.82,963.3,1729,1665.54,1885.18,2191.08,1358.12,1544.32,3856.859788,12327.58,5557.810908,1933.44,1247.042777,1796.64,1746.48,2958.3,2045.16,4343.051095,4860.96,9313.969518,2386.022473,2017.609945,1782.676209,3025.333572,2065.989361,1692.083426,2057.190588,2047.840495,1524.867411
