"","1","2","3"
"2012",54535.1690129924,50080.8465136108,54882.4544480734
"2013",58970.7014916665,47517.4067482899,71787.6577920644
"2014",63707.3934674888,51199.0428490593,73109.562778924
"2015",68421.5283750275,58373.8690731116,81641.6732884569
"2016",73043.6252870113,67510.5545384934,83431.3429651249
"2017",77542.7241927057,87517.9454111018,89022.0663800486
"2018",81869.6096612429,89265.3080042459,75125.9337219899
"2019",85989.569445163,103258.991929201,71552.7845180822
"2020",89874.1633918557,108032.005472808,82084.425096452
"2021",93503.4591679335,119499.212989987,93629.4030101957
"2022",96865.4323110222,135281.719984888,107154.129300014
"2023",99955.3389971915,137858.945003938,92441.420096623
"2024",102774.771719692,144133.222147455,87071.6224190963
"2025",105330.560280713,139825.217141672,75797.5456391102
"2026",107633.631984715,127986.449833018,77995.8595077043
"2027",109697.913879236,143935.147065669,80411.65390009
"2028",111539.337401,152036.691150208,82233.2732712866
"2029",113174.979999594,130482.198542377,80663.8782282368
"2030",114622.358036825,115369.887341185,81146.9239421813
"2031",115898.869899248,126274.417501876,90992.463099406
"2032",117021.378026671,126772.049585456,92880.4186766893
"2033",118005.912690392,134460.680117998,100212.50929287
"2034",118867.477868467,125363.158877847,95891.6447557239
"2035",119619.93946148,124987.000508836,103870.936090622
"2036",120275.977496822,122317.033991448,118439.485432443
"2037",120847.086194668,125292.445891919,114327.952833053
"2038",121343.60831881,129417.799948344,99223.8009171486
"2039",121774.792782194,151975.634336598,122850.561484384
"2040",122148.866825228,148723.041621031,118165.028511208
"2041",122473.116136048,150760.52624288,112139.492452036
"2042",122753.968002619,197513.081878782,109554.477901172
"2043",122997.073983899,214631.346408335,109021.276697318
"2044",123207.389691199,188049.496191185,111134.415180419
"2045",123389.250121132,142557.021090192,132948.984890391
"2046",123546.439620797,127582.07172903,178572.907681177
"2047",123682.25603441,130109.179434094,171558.879145195
"2048",123799.568914388,138429.079078842,144231.660120906
"2049",123900.871909758,122227.933478332,136153.949395851
"2050",123988.329595673,109287.666907482,132194.192085089
"2051",124063.819100385,106643.03072157,121206.050002922
"2052",124128.966936003,100325.957969188,114600.473942158
"2053",124185.181459189,114079.004474244,96949.9858422188
"2054",124233.681387015,126349.26683175,95765.4607505908
"2055",124275.520778406,144171.4612743,94195.6912716494
"2056",124311.610868264,151121.525320774,97494.9172289833
"2057",124342.739113016,139469.346445141,114853.854279647
"2058",124369.585775764,151111.967024998,129312.833010296
"2059",124392.738348163,180873.350326802,139056.098776051
"2060",124412.704075797,161135.399726512,130299.010481637
"2061",124429.920825058,129496.037482752,118332.615562642
