"","Fcurrent","Fmed","Flow","Fhigh","Fmax","F0.1","Fmean","FpSPR.10.SPR","FpSPR.20.SPR","FpSPR.30.SPR","FpSPR.40.SPR","FpSPR.50.SPR","FpSPR.60.SPR","FpSPR.70.SPR","FpSPR.80.SPR","FpSPR.90.SPR"
"max",1.30595206609643,1.33551386028189,1.63256962089443,1.05430435116066,0.70693802718961,0.395676210258664,1.39497912611196,1.43458538130568,0.836363748754005,0.564867048504251,0.400031671176227,0.286136841227339,0.201389185748307,1.11910398057662e-13,0.0817469458054651,0.0374421896285954
"mean",1.08305453139683,1.10757077206137,1.35392559316182,0.87435759293146,0.586279124357927,0.328142910916707,1.15688661395937,1.18973294520906,0.693614698042966,0.468456563147783,0.331754989648807,0.237299523111258,0.167016444065195,9.28097338894396e-14,0.0677945250679074,0.0310516244779809
"Fref/Fcur",1,1.02263620155204,1.25009919068031,0.807307081577686,0.541320041938975,0.302979121922418,1.06817023559038,1.09849773092648,0.640424538133277,0.432532757647586,0.306314206747225,0.219102100801157,0.154208711771689,8.56925770577239e-14,0.0625956709497093,0.0286704164728744
