"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061"
"0",23219.0999788725,23981.6639377524,25156.9851574688,26296.8483986676,27506.0172628958,28768.2348732605,30088.552847311,31469.5125620616,32913.8282958711,34424.4394241524,36004.3797617047,37656.8331827948,39385.1273988784,41192.7432339979,43083.3212242817,45060.668990888,47128.7689113471,49291.7861371941,51554.0769835418,53920.1977024608,56394.9136593139,58983.2089301913,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473,59446.0765434473
"1",18791.0324251353,20442.8876163058,21114.274936478,22149.0678280882,23152.6423059529,24217.2358183218,25328.5352562624,26490.9882361739,27706.8322730651,28978.4571101861,30308.4506739114,31699.4840382726,33154.3603947749,34676.0095740909,36267.4962124372,37932.0255619986,39672.9499823192,41493.7756944143,43398.169839767,45389.967866795,47473.1812552332,49652.005595292,51930.8290375662,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198,52338.3534725198
"2",8016.97777649,8081.72723141852,8792.16414509155,9080.91726229692,9525.96539492735,9957.58697925641,10415.451889744,10893.4042835598,11393.3570105014,11916.2723905503,12463.1782146584,13035.1875092191,13633.4490611247,14259.1684789127,14913.6058366331,15598.0791860781,16313.9670557543,17062.7112427276,17845.8197174606,18664.8696597758,19521.5106356589,20417.4679193937,21354.5459682813,22334.632056813,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024,22509.9019009024
"3",2873.00929853467,2648.55073663296,2629.24646054383,2818.9451236827,2928.50724353321,3067.33274356512,3207.32167917389,3354.62637396896,3508.58656590381,3669.61306599266,3838.03463024313,4014.18430572841,4198.41898449332,4391.10918506507,4592.64309109024,4803.4265753082,5023.88415699678,5254.45983772339,5495.61799660907,5747.84432604695,6011.64680966643,6287.55674547456,6576.12981587588,6877.94720681884,7193.61677830356,7293.06953736996,7309.4114130191,7312.09667687944,7312.53791399043,7312.61041717755,7312.6223307542,7312.62428836895,7312.62461004023,7312.62466289661,7312.62467158186,7312.624673009,7312.62467324351,7312.62467328204,7312.62467328837,7312.62467328941,7312.62467328958,7312.62467328961,7312.62467328962,7312.62467328962,7312.62467328962,7312.62467328962,7312.62467328962,7312.62467328962,7312.62467328962,7312.62467328962
