"","x"
"1",0.034301726364915
"2",0.0328276235072703
"3",0.131535421525069
"4",-0.233503983515838
"5",0.449087517937275
"6",0.200238122059215
"7",-0.355881424810372
"8",-0.136377376391914
"9",0.0514540737477369
"10",0.0927014592347595
"11",-0.35101443367482
"12",0.797253029275303
"13",0.164674129574689
"14",0.357939240073488
"15",0.26780691141651
"16",0.0295946172146035
"17",0.0430529549580443
"18",-0.105338678283096
"19",-0.313255986743682
"20",0.20830951650876
"21",-0.176934916659521
"22",-0.0721846799585135
"23",0.132247878337704
"24",-0.0685973908584474
"25",-0.350077087190192
"26",-0.311181722561903
"27",0.0842965453581282
"28",-0.310168905339475
"29",-0.186822051830335
"30",-0.106860933454834
