"","1","2","3"
"2012",20285.5032875923,20285.5032875923,20285.5032875923
"2013",21671.4984665208,19710.6297346471,21824.3794379323
"2014",23643.7732914784,18641.5757817973,29282.9178219901
"2015",25496.5111638112,20341.914816936,29501.7015688243
"2016",27358.2011566987,23579.987743334,32384.2656639371
"2017",29182.4544923472,27276.022108108,33421.2491568538
"2018",30953.0180564831,35700.0967771727,35350.8555053325
"2019",32653.2027814486,35939.9936739021,29277.3068140694
"2020",34269.032265588,41154.4670455384,27530.2522086896
"2021",35789.9296569623,43481.0135343796,33101.9672025822
"2022",37208.5216951449,47663.069498778,37930.6319506126
"2023",38520.577293445,54566.3541863054,43157.6111185269
"2024",39724.7003256158,54984.2784320957,36193.1967182587
"2025",40821.9397604524,57091.9433969736,33439.59104157
"2026",41815.344703742,55334.7868373108,29624.0204585439
"2027",42709.5099950099,49806.3084947445,30579.635625632
"2028",43510.1445485811,57310.532565496,32179.2313251104
"2029",44223.6841579569,61273.0714036762,32596.0936474222
"2030",44856.9608960626,50544.0916922109,31849.6687331386
"2031",45416.9333686893,44068.9493752575,32027.5632027623
"2032",45910.4763672068,50352.0020117403,36476.3693644529
"2033",46344.2247547423,50749.2524832144,37145.8201395918
"2034",46724.464391981,53236.9543804093,39823.7816095162
"2035",47057.0621536237,49478.0911103212,37989.3759027096
"2036",47347.427206929,48931.260189903,41135.7997376105
"2037",47600.496382131,48441.6844287529,47885.4057871241
"2038",47820.7374011284,49549.4451109856,45366.6489084775
"2039",48012.164762351,51512.0563909356,38145.95700347
"2040",48178.3640876659,61182.0427034546,49239.5621607238
"2041",48322.5216533211,59398.6168731469,47648.9428606334
"2042",48447.456618757,59149.392227766,43356.1318304879
"2043",48555.6541258702,80426.1925581712,43178.4323978075
"2044",48649.2979725859,87260.1378027293,43103.6164598936
"2045",48730.3019816843,72836.9340220325,44034.980040727
"2046",48800.3395052594,53228.5459628293,53621.5492519027
"2047",48860.8707439487,48761.6158524523,73394.0903313761
"2048",48913.1677340035,51813.1356433071,68726.976330641
"2049",48958.3369783216,55297.806572542,54726.4696861768
"2050",48997.3397814887,47788.7375615558,52830.5855295425
"2051",49031.010403332,41905.163772778,52327.1547091812
"2052",49060.0721781637,41948.5601822305,47321.4853819632
"2053",49085.1517638196,39482.7857058506,44666.3412949196
"2054",49106.7916904231,45489.0909005863,37520.0506040032
"2055",49125.4613770287,51121.2292949232,37265.7400508476
"2056",49141.5667775364,57945.0155050528,37457.6327620086
"2057",49155.4588074412,60513.6386232086,38593.1578170411
"2058",49167.4406914499,54571.6601326266,46334.045848207
"2059",49177.7743597442,59786.8228777799,52333.6317728778
"2060",49186.6860083503,73533.357538933,55602.5716118953
"2061",49194.3709271262,63610.1904278483,51259.9904106784
