Year,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,0.811501189,0.612912335,0.656443051,0.203030264,0.47821951,0.359568866,0.119835031,0.143125364,0.641730731,0.726201599,0.323664937,0.364714108,0.281363489,0.264984005,0.322570222,0.35887235,0.215196815,0.521927479,0.546105528,0.919034958,0.183156315,0.231060059,0.313663202,0.235596339,0.23333503,0.309436186,0.661468739,0.370406267,0.387319148,0.490031033
1,1,0.786598432,1,0.945951376,1,1,0.562796649,0.523791068,1,1,1,0.864613883,0.938996205,0.787705186,0.762927719,1,1,1,0.769995325,1,0.629383418,0.87473264,1,1,0.713063081,0.683580328,1,0.97364012,0.797077756,0.95164426
2,0.596397866,1,0.755214433,1,0.78526149,0.807354727,1,1,0.635355531,0.393416114,0.770008542,1,1,1,1,0.961020231,0.788102071,0.72033307,1,0.708292355,1,1,0.997255438,0.668311619,1,1,0.902742923,1,1,1
3,0.596397866,1,0.755214433,1,0.78526149,0.807354727,1,1,0.635355531,0.393416114,0.770008542,1,1,1,1,0.961020231,0.788102071,0.72033307,1,0.708292355,1,1,0.997255438,0.668311619,1,1,0.902742923,1,1,0.999999562
