"","x"
"1",0.0351773588860125
"2",0.0330966210887125
"3",0.131874529782553
"4",-0.232152478200702
"5",0.440025662900133
"6",0.207936343773415
"7",-0.353835033132993
"8",-0.148178536454489
"9",0.0484785553049347
"10",0.102865254956781
"11",-0.338058285179397
"12",0.785639742008136
"13",0.188239258605696
"14",0.362908316775633
"15",0.281063238006729
"16",0.04059143415357
"17",0.0444758821436393
"18",-0.104515555620813
"19",-0.308492695548165
"20",0.203465054672013
"21",-0.170910147618481
"22",-0.0781566266475018
"23",0.1279417534149
"24",-0.067785063538162
"25",-0.354520133698935
"26",-0.323154515757764
"27",0.0724228044070241
"28",-0.311271943295137
"29",-0.197770316686078
"30",-0.114565220372191
