"","1","2","3"
"2012",23889.5169827118,22549.0478790176,23997.4388850185
"2013",24937.7353762468,20741.5626156672,28768.3362774913
"2014",26075.7041888407,20556.9460673161,31186.2137169899
"2015",27277.0949897247,22399.7387242804,32449.0127227873
"2016",28527.5475332862,24931.9978394878,34335.376338316
"2017",29837.1889513152,30541.9752166939,35625.2917347228
"2018",31206.5282306951,33366.4862716204,32632.7784523966
"2019",32638.7893056798,36472.1452217517,28806.7771295339
"2020",34136.7752390158,40567.2182335227,31742.1039508066
"2021",35703.5130611159,44669.7755353868,36406.5912487449
"2022",37342.1579903801,52589.844530979,41697.1411828341
"2023",39056.009880398,57907.4095380358,39778.4882639665
"2024",40848.5205780957,63090.4587557407,35692.4958418939
"2025",42723.3001585388,65202.4970202056,32815.1224988049
"2026",44684.1244348812,60942.7570026961,31458.6172277194
"2027",46734.9425043328,66808.0623322362,32938.4649089102
"2028",48879.8847131145,73845.6431274709,33354.3407384925
"2029",51123.2709732369,64246.0095443323,33042.0684909225
"2030",53469.6194629456,54798.2299165443,32720.7949894007
"2031",55923.6557263508,59534.216121981,35607.6530392518
"2032",58490.322190655,64082.4643499278,37791.2294802862
"2033",61174.7881202019,66608.9551813915,39997.0011263008
"2034",63249.4958820418,64727.4054290761,40549.3841762792
"2035",64196.9086406722,62226.1152009359,42382.9867726378
"2036",64475.6701016189,63227.7825579929,49447.5559342475
"2037",64532.1406045686,64466.233877167,51562.1685401555
"2038",64541.4197230738,67013.1186870376,46822.9810716446
"2039",64542.9444490057,74608.3542111029,53576.66947833
"2040",64543.1949888782,74407.3826665591,58921.1080286221
"2041",64543.2361570819,68830.5342350391,56098.8091571385
"2042",64543.2429217576,83272.5650968732,56812.6596497465
"2043",64543.2440333154,91349.5120447371,58038.80248593
"2044",64543.2442159643,75577.2156670325,60583.6703081851
"2045",64543.2442459768,56066.60895823,71010.0350825768
"2046",64543.2442509084,48663.6223124775,89192.6855637377
"2047",64543.2442517188,51960.8724098787,85486.6858506467
"2048",64543.2442518519,57882.2138722375,64685.8268495177
"2049",64543.2442518738,56802.8626852716,58018.8381959377
"2050",64543.2442518774,51654.5330955972,60121.2400848015
"2051",64543.244251878,51429.8833775174,58659.1096151001
"2052",64543.2442518781,50619.3890898912,56862.9946846454
"2053",64543.2442518781,55454.9274291911,51845.5684940571
"2054",64543.2442518781,64908.451432404,49200.7253497144
"2055",64543.2442518781,72874.1139986809,50348.4814496894
"2056",64543.2442518781,74937.6652769091,51620.1366260689
"2057",64543.2442518781,67131.4432214094,60000.890299717
"2058",64543.2442518781,67802.3509577688,69444.4356437119
"2059",64543.2442518781,80331.2954980951,72702.9647360856
"2060",64543.2442518781,74899.7538049407,67108.216940787
"2061",64543.2442518781,57068.1872762795,59210.3173904224
