Year,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,406.0086263,498.9651971,544.3007445,469.6024769,1106.887654,1043.423712,696.7049398,923.956682,1353.179019,1698.845746,1117.545425,2381.135196,1669.138148,1818.363777,1858.004349,1458.952383,1334.928825,1116.94334,1100.459834,1693.976988,1090.718058,1081.837704,1265.055913,1024.041834,753.5207008,764.971994,879.6572732,513.112798,570.9195433,585
1,120.0262805,113.5342293,138.5116556,171.5494438,229.9781398,344.3607628,385.8406523,338.709302,451.5550704,458.0842962,446.6644866,385.4185794,769.1301667,578.0384771,669.7150815,603.486685,504.3165424,560.2004483,416.8681873,357.2738638,367.9456797,467.6890109,442.672532,465.9620437,420.6843309,314.523608,255.9296861,210.2712098,201.7096129,197.4862838
2,19.67189053,28.0388229,25.25537757,30.99158732,38.40799452,34.5337053,52.74617683,82.80443734,93.20225915,110.3844524,87.88244931,47.34848014,52.4909749,71.87721901,79.58000396,92.73385743,76.39794473,55.23342231,134.0125714,104.7485354,70.89046972,67.77961359,63.93007035,54.74540433,54.0711762,81.44090658,51.25307588,37.9863143,40.79149574,38.51837917
3,4.40309463,8.265893458,6.15185761,8.970211342,8.451764232,9.496242559,8.791537713,5.892110997,11.89691504,35.78536575,56.36938802,22.83867866,7.565409334,4.970274723,7.094318175,7.583985351,13.49943256,14.15014656,21.53070913,30.03885634,37.05029948,9.857018846,8.573242933,9.005717249,12.80366001,8.176582881,7.947868127,10.07610945,9.040498559,7.090415831
