"","x"
"1",0.039060329910181
"2",0.0378119447410148
"3",0.136545488672871
"4",-0.226789433212473
"5",0.445610206710278
"6",0.213094306163105
"7",-0.350035722282766
"8",-0.145563874626278
"9",0.0459171831833372
"10",0.0902486251897185
"11",-0.352551628511848
"12",0.788011643385643
"13",0.182430226539251
"14",0.361077819758557
"15",0.27446687688159
"16",0.0340688932644637
"17",0.0422908939334663
"18",-0.105636332930363
"19",-0.319341680039021
"20",0.197680167165887
"21",-0.173623691738358
"22",-0.0775055535780469
"23",0.129794710854702
"24",-0.0656039072339425
"25",-0.351950371912948
"26",-0.320293432437337
"27",0.0777384285859561
"28",-0.305685010002175
"29",-0.192184029800127
"30",-0.109018008577346
