"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061"
"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",9395.51621256764,10941.2204984693,11603.2334387572,12528.7476283678,13380.9562731225,14220.9776974561,15028.6985789849,15798.4625713203,16524.8255834795,17203.8170073142,17833.0663297598,18411.5695526733,18939.5429374827,19418.2069234923,19849.5690739568,20236.2137427104,20581.111450246,20887.454651484,21158.522611822,21397.5751488895,21607.7730049107,21792.1215004326,21953.4336610095,22094.3090087684,22217.1244973511,22324.0345078591,22416.9773198761,22497.6859633116,22567.7018073849,22628.3896347211,22680.9532757613,22726.4511435257,22765.8112173454,22799.8451844174,22829.261568208,22854.6777606084,22876.630937221,22895.587878047,22911.9537439522,22926.0798764387,22938.2706974518,22948.7897895284,22957.8652362967,22965.6943004796,22972.4475121048,22978.27223426,22983.2957679635,22987.628051869,22991.3640068184,22994.5855698469
"2",8016.97777649,8081.72723141852,9411.29339217744,9980.73608016082,10776.8342465645,11509.8772912831,12232.4372727061,12927.2133441799,13589.3400946293,14214.1346883963,14798.1817333649,15339.4421888318,15837.0524472048,16291.1985297554,16702.930219948,17073.974360487,17406.5539311729,17703.2240802081,17966.7308568015,18199.8949818017,18405.5204476993,18586.3260254408,18744.896797139,18883.6524388088,19004.8289775386,19110.4709940136,19202.4316190272,19282.3780996514,19351.8011336504,19412.0265582973,19464.2283166363,19509.4419057107,19548.5777390767,19582.4340353379,19611.7089822654,19637.0120294372,19658.8742379198,19677.7576692537,19694.0638328994,19708.1412354773,19720.2920898857,19730.7782502973,19739.8264421117,19747.6328556843,19754.367170199,19760.1760702165,19765.186312825,19769.5073983525,19773.2338925675,19776.4474433897
"3",2873.00929853467,2648.55073663296,2629.24646054383,2987.02745528256,3200.41063701173,3451.59950360795,3691.88220479203,3927.52686594835,4154.86658747923,4371.97796125182,4577.27363202013,4769.56555193988,4948.10494092837,5112.5343072048,5262.84540983721,5399.32189181246,5522.47916716211,5633.00542626492,5731.70742743914,5819.4632379981,5897.18291459679,5965.77722886889,6026.13393383256,6079.10070604651,6125.47373203928,6165.9908802583,6201.3284622251,6232.10069938808,6258.86114663057,6282.10546030265,6302.27502635939,6319.76107663385,6334.9090161638,6348.02276192895,6359.36895478606,6369.18095390309,6377.66255886265,6384.9914310209,6391.32220463708,6396.78929141603,6401.50939082627,6405.58372399381,6409.10001201482,6412.13422086482,6414.75209523259,6417.0105029648,6418.95861066139,6420.63890952272,6422.08810896442,6423.33791388962
