"","x"
"1",0.0351773588860125
"2",0.0318598166405067
"3",0.130710882212656
"4",-0.236789068615822
"5",0.44818793621437
"6",0.192465435369999
"7",-0.361145888838675
"8",-0.13573801343717
"9",0.0536883799995455
"10",0.101160792349511
"11",-0.341674935460295
"12",0.797525568690506
"13",0.16061686856921
"14",0.356289992951924
"15",0.268303706458798
"16",0.0307095023087076
"17",0.0430487236556224
"18",-0.106079287822864
"19",-0.304818022173243
"20",0.214311381689607
"21",-0.178063796801986
"22",-0.072147578853351
"23",0.130689670443226
"24",-0.0722833810567554
"25",-0.352136871545072
"26",-0.310689905217838
"27",0.0837846278981535
"28",-0.313818264266316
"29",-0.18682627380564
"30",-0.10761179307843
