"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061"
"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",9395.51621256764,8980.35176659559,8287.71347494876,10683.9594474924,12039.0537297728,14039.1879552367,20339.2320791837,14626.6426838265,23196.0735809352,19229.3258046556,24999.4307048796,27566.0485069025,24531.77433105,28445.5799968388,23898.3686543783,21462.0316474656,31989.1677266508,27617.8933434873,18309.1704474487,20477.4117461458,27173.7431792621,21679.0630810465,27307.7048270531,19729.8679261212,24554.8853573774,21496.1898948882,24368.0264663301,24432.1910967561,33470.3131921208,23802.8380218844,29740.6554147822,47817.7122165372,38029.2251289527,27628.0810232916,18529.6189323246,24574.6358546728,24992.4110371877,27127.7299396937,17521.6939669899,19359.5290374187,19976.3182677419,16904.8101276636,25396.7419999473,24415.949535123,30213.981676946,27717.1787009546,22556.0743826862,32569.1209381574,38966.87199407,21410.0313830099
"2",8016.97777649,8081.72723141852,7724.61584630473,7128.83019531115,9190.00553590385,10355.6149728389,12076.0674600371,17495.16706071,12581.3775217578,19952.5321738337,16540.4606283825,21503.723193765,23711.4470179766,21101.4599049986,24467.99231387,20556.6242844879,18460.9638983836,27516.0749104,23756.0423140899,15748.9719608915,17614.024859691,23373.9983267402,18647.647504389,23489.227918433,16971.0112018687,21121.3392822027,18490.3457473557,20960.6091473124,21015.8015422033,28790.1096064361,20474.4518421662,25581.9754133759,41131.2905242609,32711.5421187072,23764.8054355019,15938.5948068362,21138.3280381385,21497.6850966283,23334.4191867746,15071.60948583,16652.4573498008,17183.0000263257,14540.9854296193,21845.4778605713,21001.8310622465,25989.1157615729,23841.4444526175,19402.025013657,28014.9324033083,33518.0764305884
"3",2873.00929853467,2648.55073663296,2629.24646054383,2529.1251741324,2350.92847765734,2881.21918003252,3284.79723795183,3818.18392936551,5377.01594284541,4299.1555558903,6123.17816551596,5496.58248563792,6741.0570830691,7544.90349513619,6968.4258690625,7787.65256279103,6860.40094046156,6139.10314978887,8478.87893067238,7842.56566822024,5564.23397278715,5696.19107542777,7281.60204896721,6258.99526576702,7405.36363065691,5824.15525166198,6691.0728972998,6119.25614686704,6695.92796913051,6805.66924482639,8934.28497081758,7026.50492825808,8099.62214951573,12497.3108800337,10934.1215950029,8248.38519094336,5682.39656798097,6672.39153622014,6932.62440779128,7474.02524952933,5319.78456468787,5394.97555186132,5551.36347101963,4859.80189922892,6729.20276586021,6807.34416068113,8174.14129732287,7815.6769259655,6551.55314155473,8682.08261425
