"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061"
"0",24854.1495128324,26357.9825266764,28460.3867372533,30396.2695828485,32304.4678571901,34139.2920029024,35887.8930257749,37537.9040923942,39080.3055427882,40509.7125036569,41823.8442861175,43023.1921510732,44110.5284565936,45090.4135967682,45968.7182070157,46752.1901415154,47448.0814021726,48063.8411901527,48606.8745289403,49084.3613816694,49503.1286545533,49869.5664352175,50189.5798154764,50468.5682990878,50711.4257925416,50922.5553046775,51105.8935978053,51264.9420565316,51402.8009301768,51522.2048480061,51625.5581081007,51714.9687145032,51792.2805012679,51859.1029550298,51916.83854733,51966.7075298524,52009.7702431631,52046.9470533893,52079.0360702322,52106.7288206146,52130.624060387,52151.2399058408,52169.0244602948,52184.3651008978,52197.5965786233,52209.0080713145,52218.8493163505,52227.3359365496,52234.6540606279,52240.9643280846
"1",18791.0324251353,21882.4409969386,23206.4668775143,25057.4952567356,26761.912546245,28441.9553949123,30057.3971579699,31596.9251426405,33049.6511669589,34407.6340146284,35666.1326595197,36823.1391053467,37879.0858749654,38836.4138469845,39699.1381479137,40472.4274854208,41162.222900492,41774.9093029679,42317.0452236441,42795.1502977789,43215.5460098215,43584.2430008651,43906.8673220189,44188.6180175368,44434.2489947022,44648.0690157182,44833.9546397521,44995.3719266232,45135.4036147698,45256.7792694423,45361.9065515226,45452.9022870514,45531.6224346908,45599.6903688349,45658.523136416,45709.3555212168,45753.2618744421,45791.175756094,45823.9074879044,45852.1597528773,45876.5413949035,45897.5795790569,45915.7304725933,45931.3886009591,45944.8950242096,45956.5444685199,45966.5915359271,45975.256103738,45982.7280136367,45989.1711396938
"2",8016.97777649,8081.72723141852,9411.29339217744,9980.73608016082,10776.8342465645,11509.8772912831,12232.4372727061,12927.2133441799,13589.3400946293,14214.1346883963,14798.1817333649,15339.4421888318,15837.0524472048,16291.1985297554,16702.930219948,17073.974360487,17406.5539311729,17703.2240802081,17966.7308568015,18199.8949818017,18405.5204476993,18586.3260254408,18744.896797139,18883.6524388088,19004.8289775386,19110.4709940136,19202.4316190272,19282.3780996514,19351.8011336504,19412.0265582973,19464.2283166363,19509.4419057107,19548.5777390767,19582.4340353379,19611.7089822654,19637.0120294372,19658.8742379198,19677.7576692537,19694.0638328994,19708.1412354773,19720.2920898857,19730.7782502973,19739.8264421117,19747.6328556843,19754.367170199,19760.1760702165,19765.186312825,19769.5073983525,19773.2338925675,19776.4474433897
"3",2873.00929853467,2648.55073663296,2629.24646054383,2987.02745528256,3200.41063701173,3451.59950360795,3691.88220479203,3927.52686594835,4154.86658747923,4371.97796125182,4577.27363202013,4769.56555193988,4948.10494092837,5112.5343072048,5262.84540983721,5399.32189181246,5522.47916716211,5633.00542626492,5731.70742743914,5819.4632379981,5897.18291459679,5965.77722886889,6026.13393383256,6079.10070604651,6125.47373203928,6165.9908802583,6201.3284622251,6232.10069938808,6258.86114663057,6282.10546030265,6302.27502635939,6319.76107663385,6334.9090161638,6348.02276192895,6359.36895478606,6369.18095390309,6377.66255886265,6384.9914310209,6391.32220463708,6396.78929141603,6401.50939082627,6405.58372399381,6409.10001201482,6412.13422086482,6414.75209523259,6417.0105029648,6418.95861066139,6420.63890952272,6422.08810896442,6423.33791388962
