"","1","2","3"
"2012",20285.5032875924,20285.5032875924,20285.5032875924
"2013",21671.4984665209,19710.6297346472,21824.3794379324
"2014",23643.7732914785,18641.5757817974,29282.9178219902
"2015",25496.5111638113,20341.9148169361,29501.7015688244
"2016",27358.2011566988,23579.9877433341,32384.2656639372
"2017",29182.4544923473,27276.0221081081,33421.2491568539
"2018",30953.0180564832,35700.0967771728,35350.8555053326
"2019",32653.2027814487,35939.9936739022,29277.3068140695
"2020",34269.0322655881,41154.4670455385,27530.2522086897
"2021",35789.9296569624,43481.0135343797,33101.9672025823
"2022",37208.521695145,47663.0694987781,37930.6319506127
"2023",38520.5772934451,54566.3541863055,43157.611118527
"2024",39724.700325616,54984.2784320958,36193.1967182588
"2025",40821.9397604525,57091.9433969737,33439.5910415701
"2026",41815.3447037421,55334.7868373109,29624.020458544
"2027",42709.50999501,49806.3084947446,30579.6356256321
"2028",43510.1445485812,57310.5325654961,32179.2313251105
"2029",44223.684157957,61273.0714036763,32596.0936474223
"2030",44856.9608960627,50544.091692211,31849.6687331387
"2031",45416.9333686894,44068.9493752576,32027.5632027624
"2032",45910.4763672069,50352.0020117404,36476.369364453
"2033",46344.2247547424,50749.2524832145,37145.8201395919
"2034",46724.4643919811,53236.9543804094,39823.7816095163
"2035",47057.0621536238,49478.0911103213,37989.3759027097
"2036",47347.4272069291,48931.2601899031,41135.7997376106
"2037",47600.4963821311,48441.684428753,47885.4057871242
"2038",47820.7374011285,49549.4451109857,45366.6489084776
"2039",48012.1647623511,51512.0563909357,38145.9570034701
"2040",48178.364087666,61182.0427034547,49239.5621607239
"2041",48322.5216533212,59398.616873147,47648.9428606335
"2042",48447.4566187571,59149.3922277661,43356.131830488
"2043",48555.6541258703,80426.1925581713,43178.4323978076
"2044",48649.297972586,87260.1378027294,43103.6164598937
"2045",48730.3019816844,72836.9340220326,44034.9800407271
"2046",48800.3395052596,53228.5459628294,53621.5492519028
"2047",48860.8707439488,48761.6158524524,73394.0903313762
"2048",48913.1677340036,51813.1356433072,68726.9763306411
"2049",48958.3369783217,55297.8065725421,54726.4696861769
"2050",48997.3397814888,47788.7375615559,52830.5855295426
"2051",49031.0104033321,41905.1637727781,52327.1547091813
"2052",49060.0721781638,41948.5601822306,47321.4853819633
"2053",49085.1517638197,39482.7857058507,44666.3412949197
"2054",49106.7916904232,45489.0909005864,37520.0506040033
"2055",49125.4613770288,51121.2292949233,37265.7400508477
"2056",49141.5667775365,57945.0155050529,37457.6327620087
"2057",49155.4588074413,60513.6386232087,38593.1578170412
"2058",49167.44069145,54571.6601326267,46334.0458482071
"2059",49177.7743597443,59786.82287778,52333.6317728779
"2060",49186.6860083504,73533.3575389331,55602.5716118954
"2061",49194.3709271263,63610.1904278484,51259.9904106785
