"","10%SPR","20%SPR","30%SPR","40%SPR","50%SPR","60%SPR","70%SPR","80%SPR","90%SPR"
"max",1.43458538130568,0.836363748754005,0.564867048504251,0.400031671176227,0.286136841227339,0.201389185748307,1.11910398057662e-13,0.0817469458054651,0.0374421896285954
"mean",1.18973294520906,0.693614698042966,0.468456563147783,0.331754989648807,0.237299523111258,0.167016444065195,9.28097338894396e-14,0.0677945250679074,0.0310516244779809
