"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061"
"0",19114.7964899062,17093.8845881455,20963.7502970264,22720.4410407203,25802.6715354474,36725.6933822761,27066.4148287341,42792.4846923688,36798.6520934244,49100.2466645195,56849.4460453503,54426.1595009452,66621.1746521141,55244.9504342368,50843.5524450211,80528.0377063281,63545.0393255174,40335.6545701473,51162.1126314758,67412.266944437,55120.9019069731,68814.0671578656,48159.1449680854,63168.26945058,55866.6426828211,63716.0389822927,62787.7074853665,83178.0328861204,52317.1058969467,66595.4384996286,106745.587500962,68686.1526913726,47487.6585199734,36126.5768875592,49489.5710504232,52363.700200145,60326.5481404901,41638.4773454869,46941.2492319621,49295.9327319087,42987.6541244943,64962.9804558425,65655.3577350453,75619.0327146677,63256.7847069715,50007.5798161452,77538.0437000566,86539.2063324951,41392.9902488563,41950.8664912506
"1",18791.0324251353,16829.3188283469,15050.0390574798,18457.2008272656,20003.8512780848,22717.5521393839,32334.5531535643,23830.1948406095,37675.9631589761,32398.7884914539,43229.5319546838,50052.1914118899,47918.6472807886,58655.5545873309,48639.5387471142,44764.3978273523,70899.6311782125,55947.2201199577,35512.8861178061,45044.8690814771,59352.0592253573,48530.3221924618,60586.2519481462,42400.9539205127,55615.4990705818,49186.8978084603,56097.7740505177,55280.43933558,73232.7773248563,46061.7645487904,58632.895600832,93982.4562883281,60473.6316887307,41809.7543474406,31807.0705559736,43572.3064237441,46102.7877626406,53113.5506991166,36659.9357280177,41328.6769724569,43401.8206431925,37847.7969841764,57195.623856543,57805.2164298859,66577.5757392113,55693.4309215315,44028.379010173,68267.1384675022,76192.0690754269,36443.8005146701
"2",8016.97777649,8081.72723141852,7238.02509538252,6472.78487594177,7938.15151646194,8603.34152747758,9770.46154794804,13906.5822901441,10248.9916581567,16203.8386472331,13934.2088977566,18592.3411601547,21526.6595881429,20609.0558443119,25226.8306529185,20919.0999154672,19252.4628096245,30492.8152443633,24062.018633996,15273.5332636984,19373.0890807526,25526.3863331278,20872.1275946343,26057.1931941303,18235.9827914065,23919.3506327217,21154.5104310453,24126.7695094602,23775.2467153183,31496.2646728784,19810.4398129401,25217.0853795306,40420.3749467754,26008.756993461,17981.717161887,13679.7203287255,18739.7630632288,19828.0832514161,22843.3020246512,15766.861243817,17774.8133561852,18666.439812857,16277.741670387,24598.9374283179,24861.1135977052,28633.9672392716,23952.8678949862,18935.9127030068,29360.6215710556,32769.0094686517
"3",2873.00929853467,2648.55073663296,2629.24646054383,2397.02463400304,2151.11761094465,2508.5310626186,2747.8475074367,3104.02336149875,4285.43102076273,3486.5881884782,4971.95662207611,4599.86614697176,5803.32319502962,6797.68690824313,6711.966007074,7951.52240787932,6985.73324315034,6374.57506039699,9325.70206549219,8064.78093473373,5471.67497431589,6158.53591563535,7941.90781747922,6971.40126225164,8219.58061243309,6301.36251743491,7529.09582658263,6980.23063811625,7696.95651230307,7719.29540810971,9819.08205744546,6991.62580014441,7994.82987333579,12287.0909746113,9079.89441646136,6373.69904218761,4761.10859971305,5869.84059360406,6347.48432577397,7244.5468396387,5470.82534683418,5724.49351230105,6008.23611932231,5406.37202224386,7566.52826031594,7992.6568141624,9086.93854743029,7995.91535701726,6454.62853896655,9031.48629757357
