"","x"
"1",0.034301726364915
"2",0.0337095402556207
"3",0.132402112834257
"4",-0.230099850453167
"5",0.443171520889526
"6",0.211632312033983
"7",-0.350440238600404
"8",-0.145387392751723
"9",0.0477160818081277
"10",0.0939282666340304
"11",-0.348599484916649
"12",0.788290339731819
"13",0.184941519203316
"14",0.362694190932684
"15",0.277131983808204
"16",0.0367198369608026
"17",0.0439970426948513
"18",-0.104207489478845
"19",-0.31593522012387
"20",0.20018664365225
"21",-0.171788005044789
"22",-0.0766014465434646
"23",0.130278411905144
"24",-0.0652478593455044
"25",-0.351754646486731
"26",-0.32022553309046
"27",0.0760633661333427
"28",-0.308213273258009
"29",-0.194746389073843
"30",-0.111867973053303
