Year,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,16240.34505,19958.60789,21772.02978,18784.09908,44275.50617,41736.9485,27868.19759,36958.26728,54127.16074,67953.82984,44701.81699,95245.40785,66765.52591,72734.55108,74320.17397,58358.09532,53397.15299,44677.7336,44018.39336,67759.07952,43628.72233,43273.50815,50602.23654,40961.67337,30140.82803,30598.87976,35186.29093,20524.51192,22836.78173,23400
1,12002.62805,11353.42293,13851.16556,17154.94438,22997.81398,34436.07628,38584.06523,33870.9302,45155.50704,45808.42962,44666.44866,38541.85794,76913.01667,57803.84771,66971.50815,60348.6685,50431.65424,56020.04483,41686.81873,35727.38638,36794.56797,46768.90109,44267.2532,46596.20437,42068.43309,31452.3608,25592.96861,21027.12098,20170.96129,19748.62838
2,4524.534821,6448.929268,5808.736842,7128.065083,8833.838739,7942.75222,12131.62067,19045.02059,21436.5196,25388.42405,20212.96334,10890.15043,12072.92423,16531.76037,18303.40091,21328.78721,17571.52729,12703.68713,30822.89142,24092.16314,16304.80804,15589.31113,14703.91618,12591.44299,12436.37053,18731.40851,11788.20745,8736.852288,9382.044021,8859.227209
3,1673.175959,3141.039514,2337.705892,3408.68031,3211.670408,3608.572173,3340.784331,2239.002179,4520.827717,13598.43898,21420.36745,8678.697889,2874.855547,1888.704395,2695.840906,2881.914433,5129.784373,5377.055692,8181.669471,11414.76541,14079.1138,3745.667162,3257.832314,3422.172554,4865.390805,3107.101495,3020.189888,3828.921591,3435.389453,2694.358016
