"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061"
"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",9395.51621256764,10366.9090100878,15509.0641689116,10675.9510824895,15840.2801287894,13117.8620678208,16118.3430205694,8713.14412784322,12688.6757918107,15268.8132839617,16436.8428290876,19667.125187996,11076.8284258756,15619.4304882991,10173.2179344191,14695.6327797192,13131.7255072808,13864.7948328918,12745.005828127,13625.939830072,16871.9455841796,14704.5773193032,18560.8616532416,14531.1081832594,20604.4672150564,23318.0298160176,18844.1782262353,16182.4111564955,31449.431064338,18928.0309635983,23846.4333244558,23277.5883885222,24323.8805717698,26026.7449452796,36924.4687126982,44299.7738457009,21085.0851572684,19902.2928529924,26269.1826991415,24513.9854684853,21749.3084370836,23500.241687824,16164.3640120571,22618.5663483313,19394.5241218321,22815.2135778953,30322.1557598125,30318.4955814787,29231.7533999662,21840.5565635472
"2",8016.97777649,8081.72723141852,8917.28873187356,13340.4087004877,9183.116992469,13625.3102409527,11283.5719393141,13864.4911857463,7494.77224839156,10914.3994174742,13133.7524534712,14138.4546931755,16917.0418739672,9527.93906176292,13435.3423335787,8750.681766881,12640.720630115,11295.496833452,11926.0599869042,10962.8527411814,11720.6044337471,14512.7163840434,12648.4144414494,15965.4688117026,12499.2017522412,17723.3139737497,20057.435087501,16209.1688076658,13919.6005791064,27051.8104269037,16281.2962922705,20511.9511488548,20022.648644854,20922.6362387301,22387.3865587177,31761.2654323251,38105.2706987605,18136.726395548,17119.3256952231,22595.9238815194,21086.1584854968,18708.070348001,20214.16800275,13904.0769936688,19455.7786349666,16682.5590196049,19624.9283904664,26082.1637018304,26079.0153316671,25144.2339228381
"3",2873.00929853467,2648.55073663296,2629.24646054383,2852.91417357943,4090.46343471362,3165.18592159335,4219.12088221169,3756.5619733024,4381.22787249697,2754.60884910617,3415.69270029486,4126.83464775476,4516.44643752478,5334.80254701253,3463.26612178345,4216.52798385976,3068.50229278181,3935.93585003763,3713.26697510346,3847.86490646549,3608.48851443562,3774.87047589778,4560.21764174645,4183.14022038783,5021.69956359326,4218.46146210037,5504.72647313394,6349.75436675154,5443.87332273968,4673.44464917478,8112.00553412507,5753.02416059555,6513.9469843274,6506.14354756206,6749.1915679511,7186.78180079708,9803.52338869271,11955.7831217486,6888.34142912381,5779.46390000367,7084.05220815413,6888.54566319763,6210.81274093576,6508.32716638958,4844.13917457803,6077.86921610091,5527.71454010088,6236.11401626095,8105.53874230671,8411.86409627913
