"","x"
"1",0.0421085038355704
"2",0.0392119509807065
"3",0.13804162633082
"4",-0.227060365860695
"5",0.443939604237753
"6",0.210460758150281
"7",-0.352904954436918
"8",-0.148167296940581
"9",0.04574645139156
"10",0.0965812504640304
"11",-0.34489424397379
"12",0.78548602119294
"13",0.184212238635585
"14",0.360498722644439
"15",0.27674881363257
"16",0.0363035932327707
"17",0.041908119619821
"18",-0.106597610716479
"19",-0.314233354164354
"20",0.199446987965736
"21",-0.173707700912698
"22",-0.0793421054960897
"23",0.127454117785581
"24",-0.0680642926217638
"25",-0.35453987364251
"26",-0.322969138816982
"27",0.0752569018812759
"28",-0.307234317692163
"29",-0.193685773722604
"30",-0.110088410667223
