"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061"
"0",23549.5397025131,35230.4936832385,24251.5617369198,35982.8860684381,29798.6230300307,36614.5355893704,19792.836357751,28823.6806207901,34684.7381694025,37338.0418802661,44675.9728476755,25162.1973858604,35481.2025510125,23109.5497622094,33382.6975102021,29830.1153116413,31495.3604846599,28951.6403072678,30952.7758659874,38326.4242028794,33403.0159860226,42162.9772182368,33008.9623387446,46805.2452527497,52969.3921690974,42806.5610364801,36760.0731945705,71440.7375188105,42997.0414743592,54169.7171057593,52877.5251524675,55254.2894595374,59122.5275363782,83877.8695846316,100631.661952133,47897.0201782214,45210.1812851366,59673.250756231,55686.1330117948,49405.8742140889,53383.305873288,36719.0771808065,51380.4862872469,44056.7304462687,51827.1914464705,68880.011412914,68871.6969273807,66403.0461342638,49613.1540672103,50905.783887333
"1",18791.0324251353,20733.8180201756,31018.1283378233,21351.9021649791,31680.5602575788,26235.7241356415,32236.6860411389,17426.2882556864,25377.3515836214,30537.6265679234,32873.6856581753,39334.2503759919,22153.6568517513,31238.8609765981,20346.4358688383,29391.2655594384,26263.4510145616,27729.5896657837,25490.0116562539,27251.8796601439,33743.8911683593,29409.1546386064,37121.7233064833,29062.2163665189,41208.9344301129,46636.0596320353,37688.3564524705,32364.8223129909,62898.862128676,37856.0619271965,47692.8666489117,46555.1767770443,48647.7611435395,52053.4898905592,73848.9374253964,88599.5476914018,42170.1703145368,39804.5857059848,52538.3653982829,49027.9709369707,43498.6168741673,47000.4833756479,32328.7280241143,45237.1326966625,38789.0482436643,45630.4271557906,60644.311519625,60636.9911629574,58463.5067999325,43681.1131270944
"2",8016.97777649,8081.72723141852,8917.28873187356,13340.4087004877,9183.116992469,13625.3102409527,11283.5719393141,13864.4911857463,7494.77224839156,10914.3994174742,13133.7524534712,14138.4546931755,16917.0418739672,9527.93906176292,13435.3423335787,8750.681766881,12640.720630115,11295.496833452,11926.0599869042,10962.8527411814,11720.6044337471,14512.7163840434,12648.4144414494,15965.4688117026,12499.2017522412,17723.3139737497,20057.435087501,16209.1688076658,13919.6005791064,27051.8104269037,16281.2962922705,20511.9511488548,20022.648644854,20922.6362387301,22387.3865587177,31761.2654323251,38105.2706987605,18136.726395548,17119.3256952231,22595.9238815194,21086.1584854968,18708.070348001,20214.16800275,13904.0769936688,19455.7786349666,16682.5590196049,19624.9283904664,26082.1637018304,26079.0153316671,25144.2339228381
"3",2873.00929853467,2648.55073663296,2629.24646054383,2852.91417357943,4090.46343471362,3165.18592159335,4219.12088221169,3756.5619733024,4381.22787249697,2754.60884910617,3415.69270029486,4126.83464775476,4516.44643752478,5334.80254701253,3463.26612178345,4216.52798385976,3068.50229278181,3935.93585003763,3713.26697510346,3847.86490646549,3608.48851443562,3774.87047589778,4560.21764174645,4183.14022038783,5021.69956359326,4218.46146210037,5504.72647313394,6349.75436675154,5443.87332273968,4673.44464917478,8112.00553412507,5753.02416059555,6513.9469843274,6506.14354756206,6749.1915679511,7186.78180079708,9803.52338869271,11955.7831217486,6888.34142912381,5779.46390000367,7084.05220815413,6888.54566319763,6210.81274093576,6508.32716638958,4844.13917457803,6077.86921610091,5527.71454010088,6236.11401626095,8105.53874230671,8411.86409627913
