"","year","SSB","R"
"1",1990,48535.1008437718,1353.17901858759
"2",1991,61891.0778406991,1698.84574592124
"3",1992,63966.5551214763,1117.54542482446
"4",1993,38839.77728982,2381.13519627877
"5",1994,53404.2881085144,1669.13814769044
"6",1995,47322.3886251099,1818.36377711948
"7",1996,54484.9958939703,1858.00434921053
"8",1997,54385.0358912439,1458.95238311522
"9",1998,47917.1387782513,1334.92882471449
"10",1999,46090.765237477,1116.94334008896
"11",2000,59847.9702517999,1100.45983389327
