"","1","2","3"
"2012",20285.5032875923,20285.5032875923,20285.5032875923
"2013",20951.7217762044,19144.9373822249,21097.1869781393
"2014",21978.5480738744,17392.2910846663,27055.599361329
"2015",22974.3963000237,18098.4099235776,26869.2739565567
"2016",24030.793791437,20091.194766449,29113.860555972
"2017",25133.5376319824,22470.6486597881,29908.3582303668
"2018",26287.0411970491,28685.5856321669,31621.0358420953
"2019",27493.5247756157,28925.7030719476,26334.1972868919
"2020",28755.3597129377,33372.4042584074,24564.6759126992
"2021",30075.114011636,35889.8210814383,28937.821550542
"2022",31455.4381818572,40520.9314971745,32986.2879828536
"2023",32899.1138340838,48218.3030130715,37932.4145289263
"2024",34409.0482430055,51289.3064235668,32510.3167373676
"2025",35988.2824510232,56734.5200462205,30482.1720970745
"2026",37639.997033942,56258.5660335496,27071.8263897813
"2027",39367.5185423856,51252.8212370227,27662.84253046
"2028",41174.3262039107,61688.0116418811,28840.9484301776
"2029",43064.0589276581,64841.0003647391,29096.2275163814
"2030",45040.5226339532,51144.1637583912,28384.3327901346
"2031",47107.6979192203,45860.7487391706,28436.6574777189
"2032",49269.7480729419,54520.7936677471,32201.0385323623
"2033",51531.0274625143,55950.0833449941,32992.1641792444
"2034",53896.0903029403,59107.1613861866,35769.4937364374
"2035",55381.7559998917,54229.0714166383,34679.7172153499
"2036",55872.6954154659,54263.3129391305,38125.3685308909
"2037",55972.1481745323,54814.1620543867,45259.8052518677
"2038",55988.4900501814,56732.4932828867,44406.3397868702
"2039",55991.1753140417,58747.2198153665,38741.3343309128
"2040",55991.6165511527,68088.5918900495,50812.9049661841
"2041",55991.6890543399,62246.4423553833,50653.2860396768
"2042",55991.7009679165,58945.9696708016,48239.7351508514
"2043",55991.7029255313,79199.939323839,49542.5636979725
"2044",55991.7032472025,78652.0206644765,50860.4762009512
"2045",55991.7033000589,59200.7251417926,53455.5247315718
"2046",55991.7033087442,42965.1468563352,66061.046839367
"2047",55991.7033101713,41839.5725827851,83247.821078823
"2048",55991.7033104058,46552.2655442622,68993.8792447216
"2049",55991.7033104443,52254.6991945785,49994.802370289
"2050",55991.7033104507,47520.754214434,50276.8498234884
"2051",55991.7033104517,43675.7465696841,52889.3732500084
"2052",55991.7033104519,44946.5490246157,49919.5191307346
"2053",55991.7033104519,43314.8318172462,49096.8576990226
"2054",55991.7033104519,50883.7897179808,42589.3447557429
"2055",55991.7033104519,58907.9176655047,43030.9705083896
"2056",55991.7033104519,65716.4297276268,43694.4419313767
"2057",55991.7033104519,64473.3395141997,45575.6418136011
"2058",55991.7033104519,55053.995947503,55474.7986903798
"2059",55991.7033104519,61065.3972937751,62636.7732995701
"2060",55991.7033104519,73911.2846477356,63416.3074739401
"2061",55991.7033104519,60022.3960235603,55396.6545826644
